POK_NEEDS_SCHED_MLFQ

pok_sched_slots_allocation: 0 
[mlfq_init]: Done.
POK kernel initialized
[P1] pok_thread_create (1) return=0
[P1] pok_thread_create (2) return=0
[P1] pok_thread_create (3) return=0
time: 9679950, now: 1, A
time: 18438000, now: 2, B
time: 27657000, now: 3, C
time: 36876000, now: 4, IDLE THREAD
time: 46095000, now: 5, IDLE THREAD
time: 55314000, now: 6, IDLE THREAD
time: 64533000, now: 7, IDLE THREAD
time: 73752000, now: 8, IDLE THREAD
time: 82971000, now: 9, IDLE THREAD
time: 92190000, now: 10, B
time: 101409000, now: 11, C
time: 110628000, now: 12, IDLE THREAD
time: 119847000, now: 13, IDLE THREAD
time: 129066000, now: 14, IDLE THREAD
time: 138285000, now: 15, IDLE THREAD
time: 147504000, now: 16, IDLE THREAD
time: 156723000, now: 17, IDLE THREAD
time: 165942000, now: 18, IDLE THREAD
time: 175161000, now: 19, IDLE THREAD
time: 184380000, now: 20, A
time: 193599000, now: 21, B
time: 202818000, now: 22, C
time: 212037000, now: 23, IDLE THREAD
time: 221256000, now: 24, IDLE THREAD
time: 230475000, now: 25, IDLE THREAD
time: 239694000, now: 26, IDLE THREAD
time: 248913000, now: 27, IDLE THREAD
time: 258132000, now: 28, IDLE THREAD
time: 267351000, now: 29, IDLE THREAD
time: 276570000, now: 30, B
time: 285789000, now: 31, C
time: 295008000, now: 32, IDLE THREAD
time: 304227000, now: 33, IDLE THREAD
time: 313446000, now: 34, IDLE THREAD
time: 322665000, now: 35, IDLE THREAD
time: 331884000, now: 36, IDLE THREAD
time: 341103000, now: 37, IDLE THREAD
time: 350322000, now: 38, IDLE THREAD
time: 359541000, now: 39, IDLE THREAD
time: 368760000, now: 40, A
time: 377979000, now: 41, B
time: 387198000, now: 42, C
time: 396417000, now: 43, IDLE THREAD
time: 405636000, now: 44, IDLE THREAD
time: 414855000, now: 45, IDLE THREAD
time: 424074000, now: 46, IDLE THREAD
time: 433293000, now: 47, IDLE THREAD
time: 442512000, now: 48, IDLE THREAD
time: 451731000, now: 49, IDLE THREAD
time: 460950000, now: 50, B
time: 470169000, now: 51, C
time: 479388000, now: 52, IDLE THREAD
time: 488607000, now: 53, IDLE THREAD
time: 497826000, now: 54, IDLE THREAD
time: 507045000, now: 55, IDLE THREAD
time: 516264000, now: 56, IDLE THREAD
time: 525483000, now: 57, IDLE THREAD
time: 534702000, now: 58, IDLE THREAD
time: 543921000, now: 59, IDLE THREAD
time: 553140000, now: 60, A
time: 562359000, now: 61, B
time: 571578000, now: 62, C
time: 580797000, now: 63, IDLE THREAD
time: 590016000, now: 64, IDLE THREAD
time: 599235000, now: 65, IDLE THREAD
time: 608454000, now: 66, IDLE THREAD
time: 617673000, now: 67, IDLE THREAD
time: 626892000, now: 68, IDLE THREAD
time: 636111000, now: 69, IDLE THREAD
time: 645330000, now: 70, B
time: 654549000, now: 71, C
time: 663768000, now: 72, IDLE THREAD
time: 672987000, now: 73, IDLE THREAD
time: 682206000, now: 74, IDLE THREAD
time: 691425000, now: 75, IDLE THREAD
time: 700644000, now: 76, IDLE THREAD
time: 709863000, now: 77, IDLE THREAD
time: 719082000, now: 78, IDLE THREAD
time: 728301000, now: 79, IDLE THREAD
time: 737520000, now: 80, A
time: 746739000, now: 81, B
time: 755958000, now: 82, C
time: 765177000, now: 83, IDLE THREAD
time: 774396000, now: 84, IDLE THREAD
time: 783615000, now: 85, IDLE THREAD
time: 792834000, now: 86, IDLE THREAD
time: 802053000, now: 87, IDLE THREAD
time: 811272000, now: 88, IDLE THREAD
time: 820491000, now: 89, IDLE THREAD
time: 829710000, now: 90, B
time: 838929000, now: 91, C
time: 848148000, now: 92, IDLE THREAD
time: 857367000, now: 93, IDLE THREAD
time: 866586000, now: 94, IDLE THREAD
time: 875805000, now: 95, IDLE THREAD
time: 885024000, now: 96, IDLE THREAD
time: 894243000, now: 97, IDLE THREAD
time: 903462000, now: 98, IDLE THREAD
time: 912681000, now: 99, IDLE THREAD
time: 921900000, now: 100, A
time: 931119000, now: 101, B
time: 940338000, now: 102, C
time: 949557000, now: 103, IDLE THREAD
time: 958776000, now: 104, IDLE THREAD
time: 967995000, now: 105, IDLE THREAD
time: 977214000, now: 106, IDLE THREAD
time: 986433000, now: 107, IDLE THREAD
time: 995652000, now: 108, IDLE THREAD
time: 1004871000, now: 109, IDLE THREAD
time: 1014090000, now: 110, B
time: 1023309000, now: 111, C
time: 1032528000, now: 112, IDLE THREAD
time: 1041747000, now: 113, IDLE THREAD
time: 1050966000, now: 114, IDLE THREAD
time: 1060185000, now: 115, IDLE THREAD
time: 1069404000, now: 116, IDLE THREAD
time: 1078623000, now: 117, IDLE THREAD
time: 1087842000, now: 118, IDLE THREAD
time: 1097061000, now: 119, IDLE THREAD
time: 1106280000, now: 120, A
time: 1115499000, now: 121, B
time: 1124718000, now: 122, C
time: 1133937000, now: 123, IDLE THREAD
time: 1143156000, now: 124, IDLE THREAD
time: 1152375000, now: 125, IDLE THREAD
time: 1161594000, now: 126, IDLE THREAD
time: 1170813000, now: 127, IDLE THREAD
time: 1180032000, now: 128, IDLE THREAD
time: 1189251000, now: 129, IDLE THREAD
time: 1198470000, now: 130, B
time: 1207689000, now: 131, C
time: 1216908000, now: 132, IDLE THREAD
time: 1226127000, now: 133, IDLE THREAD
time: 1235346000, now: 134, IDLE THREAD
time: 1244565000, now: 135, IDLE THREAD
time: 1253784000, now: 136, IDLE THREAD
time: 1263003000, now: 137, IDLE THREAD
time: 1272222000, now: 138, IDLE THREAD
time: 1281441000, now: 139, IDLE THREAD
time: 1290660000, now: 140, A
time: 1299879000, now: 141, B
QEMU: Terminated
