
pok_sched_slots_allocation: 0 
POK kernel initialized
[P1] pok_thread_create (1) return=0
[P1] pok_thread_create (2) return=0
[P1] pok_thread_create (3) return=0
time: 9827454, now: 1, A
time: 18438000, now: 2, B
time: 27657000, now: 3, B
time: 36876000, now: 4, C
time: 46095000, now: 5, C
time: 55314000, now: 6, C
time: 64533000, now: 7, A
time: 73752000, now: 8, B
time: 82971000, now: 9, B
time: 92190000, now: 10, C
time: 101409000, now: 11, C
time: 110628000, now: 12, C
time: 119847000, now: 13, A
time: 129066000, now: 14, B
time: 138285000, now: 15, B
time: 147504000, now: 16, C
time: 156723000, now: 17, C
time: 165942000, now: 18, C
time: 175161000, now: 19, A
time: 184380000, now: 20, B
time: 193599000, now: 21, B
time: 202818000, now: 22, C
time: 212037000, now: 23, C
time: 221256000, now: 24, C
time: 230475000, now: 25, A
time: 239694000, now: 26, B
time: 248913000, now: 27, B
time: 258132000, now: 28, C
time: 267351000, now: 29, C
time: 276570000, now: 30, C
time: 285789000, now: 31, A
time: 295008000, now: 32, B
time: 304227000, now: 33, B
time: 313446000, now: 34, C
time: 322665000, now: 35, C
time: 331884000, now: 36, C
time: 341103000, now: 37, A
time: 350322000, now: 38, B
time: 359541000, now: 39, B
time: 368760000, now: 40, C
time: 377979000, now: 41, C
time: 387198000, now: 42, C
time: 396417000, now: 43, A
time: 405636000, now: 44, B
time: 414855000, now: 45, B
time: 424074000, now: 46, C
time: 433293000, now: 47, C
time: 442512000, now: 48, C
time: 451731000, now: 49, A
time: 460950000, now: 50, B
time: 470169000, now: 51, B
time: 479388000, now: 52, C
time: 488607000, now: 53, C
time: 497826000, now: 54, C
time: 507045000, now: 55, A
time: 516264000, now: 56, B
time: 525483000, now: 57, B
time: 534702000, now: 58, C
time: 543921000, now: 59, C
time: 553140000, now: 60, C
time: 562359000, now: 61, A
time: 571578000, now: 62, B
time: 580797000, now: 63, B
time: 590016000, now: 64, C
time: 599235000, now: 65, C
time: 608454000, now: 66, C
time: 617673000, now: 67, A
time: 626892000, now: 68, B
time: 636111000, now: 69, B
time: 645330000, now: 70, C
time: 654549000, now: 71, C
time: 663768000, now: 72, C
time: 672987000, now: 73, A
time: 682206000, now: 74, B
time: 691425000, now: 75, B
time: 700644000, now: 76, C
time: 709863000, now: 77, C
time: 719082000, now: 78, C
time: 728301000, now: 79, A
time: 737520000, now: 80, B
time: 746739000, now: 81, B
time: 755958000, now: 82, C
time: 765177000, now: 83, C
time: 774396000, now: 84, C
time: 783615000, now: 85, A
time: 792834000, now: 86, B
time: 802053000, now: 87, B
time: 811272000, now: 88, C
time: 820491000, now: 89, C
time: 829710000, now: 90, C
time: 838929000, now: 91, A
time: 848148000, now: 92, B
time: 857367000, now: 93, B
time: 866586000, now: 94, C
QEMU: Terminated
